dai_khoang_cach,cht_cht_me,dh_tro_len,cd_tc_nghe,nv02,nguon
<30,0,0,0,0,PRD 5.3.4
30-100,900000,500000,350000,250000,PRD 5.3.4
100-400,1400000,1100000,850000,550000,PRD 5.3.4 — "trên 100km"
400-1000,1400000,1100000,850000,550000,ASSUMED — PRD gộp "trên 100km"; dải 400-1000 lấy cùng mức chờ HR xác nhận
mien_trung,7200000,3600000,2700000,1800000,PRD 5.3.4 — từ HN/HCM
nam_trung_bo,6000000,3000000,2200000,1500000,PRD 5.3.4 — từ HCM
phu_quoc,6000000,3000000,2200000,1500000,PRD 5.3.4 — từ HCM
khac_mien,11200000,5600000,4200000,2800000,PRD 5.3.4 — Nam từ HN / Bắc từ HCM
